name,email,phone,signup_date
  Craig Carpenter  ,michael31@example.com,(357)7594929,"Apr 25, 2025"
tracey higgins,tamirodriguez@example.org,(966)3193149,16/08/2024
  Jon Clark  ,arivera@example.org,(197)2181143,15/08/2025
  Corey Rodriguez  ,jessicawong@example.net,054-932-9668,"Jun 26, 2022"
JASON HERRERA,shannonford@example.org,249-035-2135,2024-03-19
  Michael Valencia  ,keyemily@example.com,(278)7429671,2024-07-04
casey gillespie,lfrench@example.net,0049915478,"Dec 17, 2025"
DANA ARMSTRONG,leescott@example.com,(636)8970283,2026-02-21
  Elizabeth Davis  ,farmstrong@example.org,(506)1497310,"May 15, 2022"
  Brian Fowler  ,emily61@example.org,8685289755,"Mar 07, 2025"
haley humphrey,katrinaanderson@example.net,1824225358,05/05/2023
robert harrison,michealvalentine@example.com,4688623924,"May 22, 2026"
  Omar Ware  ,yvargas@example.org,(341)9182553,"Nov 01, 2025"
JAMES BRYANT,evaughn@example.com,(120)2169797,2024-09-21
  Charles Morris  ,adamreyes@example.com,5499045301,13/02/2025
MARGARET HARPER,wmatthews@example.com,9249912513,05/11/2024
SYLVIA JONES,gonzalezdebbie@example.org,(510)7029667,21/02/2023
nicholas fuller,webbhaley@example.net,(695)4899529,"Nov 27, 2025"
STEVEN SCOTT,philip55@example.com,0171577245,"Dec 29, 2025"
daniel jones,perezrebecca@example.com,834-738-2997,"Apr 17, 2023"
  Kelly Reese  ,xwest@example.net,783-908-4700,2022-08-04
Terry Coffey,julie51@example.com,,2022-04-24
Robin Johnson,jeremiah56@example.net,1689363926,29/06/2025
Shawn Watson,javier42@example.org,031-780-7823,"Apr 24, 2024"
Rebekah Norton,wcasey@example.com,598-564-2059,04/03/2022
ANGELA MOORE,jodistewart@example.org,047-541-2126,"Jan 12, 2026"
CARLOS BREWER,wstewart@example.org,7991183842,"Oct 25, 2024"
  Wayne Williams  ,andreagray@example.org,7797177517,07/03/2025
MARY JONES,alexander67@example.org,572-628-4987,2023-12-15
TRAVIS MILLER,wfreeman@example.org,770-143-6349,10/03/2026
  Jessica Petersen  ,jessica91@example.org,3678508214,2026-02-17
CAROL MOORE,shannonemily@example.org,8000307562,28/03/2025
ALEXANDER GOMEZ,carlsonkristen@example.com,(466)1839826,2024-03-26
Kathryn Rosario,vgarcia@example.net,820-377-8892,19/12/2024
erik floyd,xhill@example.org,(777)5478129,2026-04-03
  William Carter  ,stephanie81@example.org,(042)2325367,12/03/2025
kelli smith,john16@example.net,182-755-3942,"Sep 02, 2023"
